Journal Title,Rating,Publisher,ISSN,ISSN Online,FoR,Year Inception
Australasian Journal of Information Systems,B,Australasian Association for Information Systems (AAIS),1449-8618,1326-2238,4609,1983
Australasian Journal of Natural Resources Law and Policy,B,University of Wollongong,1320-5323,,4801,1993
Australasian Journal of Regional Studies,B,Australian and New Zealand Regional Science Association,1324-0935,,3599,1995
Australasian Journal on Ageing,B,Wiley-Blackwell Publishing,1440-6381,1741-6612,3599,1982
Australasian Marketing Journal,B,Elsevier,1441-3582,1839-3349,3506,1993
Australasian Parks and Leisure,B,Universal Magazines,1446-5604,,3504,
Australian Accounting Review,B,Wiley-Blackwell Publishing,1035-6908,1835-2561,3501,1991
Australian and New Zealand Journal of Criminology,B,Sage Publications,0004-8658,1837-9273,4801,1968
Australian and New Zealand Journal of Statistics,B,Wiley-Blackwell Publishing,1369-1473,1467-842X,4905,1959
Australian Bar Review,B,LexisNexis,0814-8589,,4801,1986
Australian Bulletin of Labour,B,"National Institute of Labour Studies, Flinders University",0311-6336,0311-6336,3505,1974
Australian Business Law Review,B,Thomson Reuters,0310-1053,,4801,1973
Australian Commodities,B,Australian Bureau of Agricultural and Resource Economics,1321-7844,,3801,1948
Australian Economic History Review,B,Wiley-Blackwell Publishing,0004-8992,1467-8446,3801,1956
Australian Economic Papers,B,Wiley-Blackwell Publishing,0004-900X,1467-8454,3801,1962
Australian GST Journal,B,Thomson Reuters,1445-4068,,4801,1998
Australian Intellectual Property Journal,B,Thomson Reuters,1038-1635,,4801,1990
Australian Journal of Actuarial Practice (formerly Australian Actuarial Journal),B,Institute of Actuaries of Australia,2203-2290,2203-5354,3502,1997
Australian Journal of Asian Law,B,Federation Press,1443-0738,,4801,2000
Australian Journal of Business and Management Research,B,New South Wales Research Centre Australia,,1839-0846,3501,2011
Australian Journal of Career Development,B,Sage Publications,1038-4162,2200-6974,3505,1992
Australian Journal of Competition and Consumer Law (formerly Trade Practices Law Journal),B,Thomson Reuters,1838-9260,,4801,1993
Australian Journal of Corporate Law,B,LexisNexis,1037-4124,,4801,1991
Australian Journal of Environmental Education,B,Cambridge University Press,0814-0626,2049-775X,3507,1984
Australian Journal of Human Rights,B,University of New South Wales,1323-238X,2573-573X,3599,1994
